school,department,n_faculty,n_with_scholar,n_with_openalex,median_h,mean_h,max_h,median_fwci,mean_fwci,median_works,total_scholar_citations,total_openalex_citations,noisy
College of Arts and Sciences,Women's and Gender Studies,5,2,4,11,11.0,20,0.33,0.33,15,1438,1303,
College of Philosophy and Letters,Catholic Studies Program,1,0,1,,,,,,4,,2,yes
College of Philosophy and Letters,Center for Ignatian Service,2,0,1,,,,,,22,,180,yes
College of Philosophy and Letters,Systematic Theology,1,0,0,,,,,,,,,yes
Doisy College of Health Sciences,Clinical Health Sciences,6,0,5,6,6.0,6,1.61,1.61,48,162,2375,
Doisy College of Health Sciences,Nutrition and Dietetics,5,1,5,12,11.5,18,2.16,2.53,41,1344,1939,
Doisy College of Health Sciences,Occupational Science and Occupational Therapy,5,0,4,6,6.0,6,0.94,1.37,36,138,2249,
Doisy College of Health Sciences,Physical Therapy and Athletic Training,11,4,10,22,22.2,32,1.64,1.72,45,7344,7421,
Doisy College of Health Sciences,"Speech, Language and Hearing Sciences",7,1,6,8,8.0,8,0.90,0.88,16,262,6245,
School of Education,Educational Leadership,2,0,1,,,,0.67,0.67,3,,9,yes
School of Education,Educational Studies,8,3,4,15,15.0,22,1.25,1.25,34,4861,2460,
School of Education,Herrmann Center for Innovative Catholic Education,1,0,0,,,,,,,,,yes
School of Education,Higher Education Administration,2,1,2,17,17.0,17,,,31,1319,519,yes
School of Education,Higher Education Faculty,1,0,1,,,,,,1,,4,yes
School of Education,Office of School and Community Partnerships,1,0,0,,,,,,,,,yes
School of Education,Office of the Dean,3,0,2,,,,0.33,0.33,146,,1461,yes
School of Education,Teacher Education,1,0,1,,,,,,1,,8,yes
School of Education,Teacher Education Faculty,1,0,1,,,,,,10,,168,yes
School of Science and Engineering,Aerospace and Mechanical Engineering,10,7,8,14,12.4,19,0.67,1.23,66,5468,3322,
School of Science and Engineering,Aviation Science,3,1,3,6,6.0,6,1.00,1.00,14,123,147,yes
School of Science and Engineering,Biomedical Engineering,8,4,6,22,26.0,49,2.08,1.88,55,15709,17631,
School of Science and Engineering,Chemistry,28,10,19,24,28.2,57,1.44,1.63,76,34755,61367,
School of Science and Engineering,Civil Engineering,5,3,4,16,17.0,22,2.07,2.60,67,3854,2875,
School of Science and Engineering,Computer Science,16,13,11,16,18.8,51,1.61,2.56,51,36029,16503,
School of Science and Engineering,"Earth, Environmental and Geospatial Sciences",13,7,7,27,31.7,51,2.00,1.91,60,35165,24636,
School of Science and Engineering,Electrical and Computer Engineering,12,4,9,20,22.8,46,3.70,3.10,41,28594,24607,
School of Science and Engineering,Office of the Dean,1,0,0,,,,,,24,,578,yes
School of Social Work,Criminology and Criminal Justice,3,1,2,5,5.0,5,2.42,2.42,12,86,76,yes
School of Social Work,Gerontology,1,1,1,16,16.0,16,2.04,2.04,94,2147,1917,yes
School of Social Work,Office of the Dean,3,2,3,70,69.5,95,1.00,1.17,124,40573,30177,yes
School of Social Work,Social Work Faculty,11,8,10,20,19.1,29,0.85,1.70,66,19835,15719,
Trudy Busch Valentine School of Nursing,Administration,3,0,2,,,,0.50,2.48,27,,2817,yes
Trudy Busch Valentine School of Nursing,Nursing,15,2,11,16,16.0,20,1.49,2.95,64,2138,10451,
Trudy Busch Valentine School of Nursing,Program Option Coordinators and Directors,5,0,2,,,,,,12,,842,
